term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
5896	0.9333	['AT4G25910', 'AT2G41680', 'AT3G47450', 'AT3G17830', 'AT2G26360', 'AT4G33520', 'AT4G36810']	98	107	7	10
5640	0.9167	['AT2G26360', 'AT2G41680', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	92	105	6	14
5656	0.9125	['AT2G26360', 'AT2G41680', 'AT3G47450', 'AT4G25910', 'AT4G36810']	92	107	5	16
5886	0.9091	['AT2G26360', 'AT2G41680', 'AT3G47450', 'AT4G25910', 'AT4G33520', 'AT4G36810']	97	107	6	11
5743	0.9048	['AT2G26360', 'AT2G41680', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G33520', 'AT4G36810']	94	104	7	11
5453	0.8714	['AT4G25910', 'AT2G41680', 'AT3G47450', 'AT3G17830', 'AT2G26360', 'AT4G33520', 'AT4G36810']	90	99	7	10
4679	0.8704	['AT2G26360', 'AT3G14420', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	82	93	6	12
5104	0.8667	['AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G33520', 'AT4G36810']	86	96	5	11
5382	0.8586	['AT2G26360', 'AT2G41680', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	89	99	6	11
1328	0.8545	['AT2G41680', 'AT3G17830', 'AT4G25910', 'AT4G33520', 'AT4G36810']	58	68	5	11
3918	0.8524	['AT4G25910', 'AT3G14420', 'AT3G47450', 'AT3G17830', 'AT2G26360', 'AT4G33520', 'AT4G36810']	76	85	7	10
1317	0.85	['AT4G25910', 'AT2G41680', 'AT3G17830', 'AT2G26360', 'AT4G33520', 'AT4G36810']	58	67	6	10
5619	0.8438	['AT2G04030', 'AT2G26360', 'AT2G41680', 'AT3G14420', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	92	103	8	12
2717	0.8389	['AT2G26360', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	68	79	5	12
184	0.8333	['AT2G04030', 'AT4G25910', 'AT2G41680', 'AT3G47450', 'AT3G19490', 'AT3G17830', 'AT2G26360', 'AT4G36810']	49	58	8	10
3789	0.8303	['AT2G26360', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	75	85	5	11
2710	0.8232	['AT2G26360', 'AT2G41680', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	68	78	6	11
2859	0.8182	['AT2G26360', 'AT3G14420', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	69	79	6	11
4321	0.8182	['AT2G26360', 'AT3G14420', 'AT3G47450', 'AT4G25050', 'AT4G31390']	79	89	5	11
5090	0.8111	['AT4G25910', 'AT3G47450', 'AT3G01480', 'AT3G17830', 'AT4G33520', 'AT4G36810']	86	95	6	10
1455	0.8111	['AT2G04030', 'AT4G25910', 'AT2G41680', 'AT3G17830', 'AT4G33520', 'AT4G36810']	59	68	6	10
3783	0.8111	['AT4G25910', 'AT2G41680', 'AT3G47450', 'AT3G17830', 'AT2G26360', 'AT4G36810']	75	84	6	10
4670	0.8106	['AT2G04030', 'AT2G26360', 'AT2G41680', 'AT3G14420', 'AT3G17830', 'AT3G47450', 'AT4G25910', 'AT4G36810']	82	92	8	11
5373	0.8083	['AT2G04030', 'AT4G25910', 'AT2G41680', 'AT3G14420', 'AT3G47450', 'AT3G17830', 'AT2G26360', 'AT4G36810']	89	98	8	10
4775	0.8	['AT2G04030', 'AT4G25910', 'AT2G41680', 'AT3G14420', 'AT3G47450', 'AT3G17830', 'AT2G26360', 'AT4G33520', 'AT4G36810']	83	92	9	10
4437	0.78	['AT2G04030', 'AT4G25910', 'AT4G25050', 'AT2G41680', 'AT3G14420', 'AT3G47450', 'AT3G17830', 'AT2G26360', 'AT4G31390', 'AT4G36810']	80	89	10	10
5193	0.77	['AT2G04030', 'AT4G25910', 'AT2G41680', 'AT3G14420', 'AT3G47450', 'AT3G19490', 'AT3G17830', 'AT2G26360', 'AT4G33520', 'AT4G36810']	87	96	10	10
2850	0.7667	['AT2G04030', 'AT4G25910', 'AT2G41680', 'AT3G14420', 'AT3G47450', 'AT3G17830', 'AT2G26360', 'AT4G36810']	69	78	8	10
890	0.7667	['AT3G47450', 'AT3G01480', 'AT1G73530', 'AT3G17830', 'AT4G33520', 'AT4G31390', 'AT4G36810']	55	64	7	10
5736	0.7524	['AT2G04030', 'AT4G25910', 'AT4G25050', 'AT2G41680', 'AT3G14420', 'AT3G47450', 'AT3G01480', 'AT1G73530', 'AT1G03600', 'AT3G17830', 'AT2G26360', 'AT4G33520', 'AT4G31390', 'AT4G36810']	94	103	14	10
4316	0.7481	['AT4G25050', 'AT3G14420', 'AT3G47450', 'AT1G73530', 'AT1G03600', 'AT2G26550', 'AT2G26360', 'AT3G46610', 'AT4G31390']	79	88	9	10
3506	0.7455	['AT1G32500', 'AT3G14420', 'AT3G17830', 'AT3G47450', 'AT4G36810']	73	83	5	11
3785	0.7444	['AT4G25050', 'AT3G01480', 'AT1G73530', 'AT1G03600', 'AT4G33520', 'AT4G31390']	75	84	6	10
5884	0.7424	['AT4G25910', 'AT4G25050', 'AT2G41680', 'AT3G47450', 'AT3G01480', 'AT1G73530', 'AT1G03600', 'AT2G26360', 'AT4G33520', 'AT4G31390', 'AT4G36810']	97	106	11	10
3646	0.7389	['AT3G14420', 'AT3G47450', 'AT3G17830', 'AT1G32500', 'AT2G26550', 'AT4G36810']	74	83	6	10
2128	0.7242	['AT4G25910', 'AT4G25050', 'AT3G14420', 'AT3G47450', 'AT1G03600', 'AT3G17830', 'AT2G26360', 'AT3G46610', 'AT1G44575', 'AT1G79040', 'AT4G36810']	64	73	11	10
5524	0.7222	['AT4G25910', 'AT2G41680', 'AT3G01480', 'AT1G73530', 'AT2G26360', 'AT4G33520']	91	100	6	10
3495	0.6967	['AT2G04030', 'AT4G25910', 'AT2G41680', 'AT3G14420', 'AT3G47450', 'AT3G17830', 'AT1G32500', 'AT2G26360', 'AT4G36810', 'AT1G16880']	73	82	10	10
4561	0.6909	['AT1G03600', 'AT1G73530', 'AT3G46610', 'AT4G25050', 'AT4G31390']	81	91	5	11
3347	0.6909	['AT1G73530', 'AT3G01480', 'AT3G46610', 'AT4G25050', 'AT4G31390']	72	82	5	11
3500	0.6889	['AT4G25050', 'AT3G01480', 'AT1G73530', 'AT2G26550', 'AT3G46610', 'AT4G31390']	73	82	6	10
3033	0.6833	['AT1G03600', 'AT1G73530', 'AT3G46610', 'AT4G25050', 'AT4G31390']	70	81	5	12
4549	0.6619	['AT4G25050', 'AT3G01480', 'AT1G73530', 'AT1G03600', 'AT2G26550', 'AT3G46610', 'AT4G31390']	81	90	7	10
4550	0.6611	['AT3G47450', 'AT3G17830', 'AT3G56040', 'AT1G44575', 'AT1G79040', 'AT4G36810']	81	90	6	10
3017	0.6429	['AT4G25050', 'AT1G73530', 'AT1G03600', 'AT1G32500', 'AT2G26550', 'AT3G46610', 'AT4G31390']	70	79	7	10
3930	0.6414	['AT1G03600', 'AT1G73530', 'AT1G79040', 'AT3G01480', 'AT3G46610', 'AT4G25050']	76	86	6	11
5676	0.6364	['AT1G03600', 'AT1G73530', 'AT3G01480', 'AT4G25050', 'AT4G31390', 'AT4G33520']	93	103	6	11
4175	0.6333	['AT4G25050', 'AT1G32500', 'AT2G26550', 'AT3G46610', 'AT5G52440', 'AT4G31390']	78	87	6	10
4050	0.6273	['AT4G25050', 'AT3G01480', 'AT1G73530', 'AT1G03600', 'AT3G56040', 'AT3G46610', 'AT4G33520', 'AT1G44575', 'AT1G71500', 'AT1G79040', 'AT4G31390']	77	86	11	10
4886	0.6212	['AT4G25050', 'AT3G01480', 'AT1G73530', 'AT1G03600', 'AT3G56040', 'AT3G46610', 'AT4G33520', 'AT1G44575', 'AT1G71500', 'AT1G79040', 'AT4G31390']	84	93	11	10
4665	0.6208	['AT4G25050', 'AT1G73530', 'AT1G03600', 'AT3G56040', 'AT3G46610', 'AT1G44575', 'AT1G79040', 'AT4G31390']	82	91	8	10
4696	0.6154	['AT1G03600', 'AT1G44575', 'AT1G73530', 'AT1G79040', 'AT4G25050', 'AT4G31390']	82	94	6	13
4792	0.6147	['AT1G03600', 'AT1G44575', 'AT1G73530', 'AT1G79040', 'AT3G01480', 'AT4G25050', 'AT4G31390']	83	93	7	11
3645	0.6083	['AT4G25050', 'AT1G73530', 'AT1G03600', 'AT3G56040', 'AT3G46610', 'AT1G44575', 'AT1G79040', 'AT4G31390']	74	83	8	10
3338	0.6074	['AT4G25050', 'AT3G01480', 'AT1G73530', 'AT1G03600', 'AT3G56040', 'AT3G46610', 'AT1G44575', 'AT1G79040', 'AT4G31390']	72	81	9	10
1329	0.5974	['AT1G03600', 'AT1G73530', 'AT1G79040', 'AT3G01480', 'AT3G46610', 'AT4G25050', 'AT4G31390']	58	68	7	11
4892	0.596	['AT1G03600', 'AT1G44575', 'AT1G71500', 'AT1G73530', 'AT1G79040', 'AT3G46610', 'AT3G56040', 'AT4G25050', 'AT4G31390']	84	94	9	11
5449	0.5944	['AT4G25050', 'AT3G01480', 'AT1G73530', 'AT1G03600', 'AT3G46610', 'AT4G31390']	90	99	6	10
1203	0.594	['AT1G03600', 'AT1G73530', 'AT1G79040', 'AT3G46610', 'AT4G25050', 'AT4G31390']	57	69	6	13
5620	0.5889	['AT1G03600', 'AT1G73530', 'AT3G01480', 'AT4G25050', 'AT4G31390']	92	103	5	12
5863	0.5758	['AT1G03600', 'AT1G73530', 'AT3G01480', 'AT4G25050', 'AT4G31390', 'AT4G33520']	96	106	6	11
4990	0.5744	['AT2G04030', 'AT4G25050', 'AT2G41680', 'AT1G73530', 'AT1G03600', 'AT3G56040', 'AT1G32500', 'AT2G26550', 'AT3G46610', 'AT1G44575', 'AT1G71500', 'AT1G79040', 'AT4G31390']	85	94	13	10
1849	0.5667	['AT4G25050', 'AT1G73530', 'AT1G03600', 'AT3G56040', 'AT3G46610', 'AT1G44575', 'AT1G79040', 'AT4G31390']	62	71	8	10
1986	0.5667	['AT2G04030', 'AT4G25050', 'AT3G01480', 'AT3G19490', 'AT1G32500', 'AT2G26550', 'AT3G46610', 'AT4G31390', 'AT1G16880']	63	72	9	10
